Volcanoes of the World 4.3.0,,Downloaded on 13 Jul 2014 at 11:45 PM,,,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
320170,Bridge River Cones,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320180,Meager,"Clague J J, Evans S G, Rampton V N, Woodsworth G J",1995,"Improved age estimates for the White River and Bridge River tephras, western Canada","Can J Earth Sci, 32: 1172-1179"
320180,Meager,"Green N L, Armstrong R L, Harakal J E, Souther J G, Read P B",1988,"Eruptive history and K-Ar geochronology of the late Cenozoic Garibaldi volcanic belt, southwestern British Columbia","Geol Soc Amer Bull, 100: 563-579"
320180,Meager,"Hickson C J, Russell J K, Stasiuk M V",1999,"Volcanology of the 2350 B.P. eruption of Mount Meager volcanic complex, British Columbia, Canada: implications for hazards form eruptions in topographically complex terrain","Bull Volc, 60: 489-507"
320180,Meager,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320180,Meager,Hildreth W E,2007,Quaternary magmatism in the Cascades--geologic perpectives,"U S Geol Surv Prof Pap, 1744: 1-125"
320180,Meager,Holland S S,1976,"Landforms of British Columbia, a physiographic outline","Brit Columbia Dept Mines Petrol Resour Bull, 48: 1-138 (2nd printing)"
320180,Meager,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320180,Meager,"Lewis T J, Souther J G",1978,"Meager Mountain, B.C.- A possible geothermal energy resource","Energy Mines Resour Can, Geotherm Ser, 9: 1-17"
320180,Meager,"Michol K A, Russel J K, Andrews G D M",2008,"Welded block and ash flow deposits from Mount Meager, British Columbia, Canada","J Volc Geotherm Res, 169: 121-144"
320180,Meager,"Nasmith H, Mathews W H, Rouse G E",1967,Bridge River ash and some other Recent ash beds in British Columbia,"Can J Earth Sci, 4: 163-170"
320180,Meager,Read P B,1977,"Meager Creek volcanic complex, southwestern British Columbia","Geol Surv Can Pap, 77-1A: 277-285"
320180,Meager,Read P B,1978,Meager Creek geothermal area,"Geol Surv Can, Open-File 603, 1:20,000 geol map and text"
320180,Meager,Read P B,1990,"Mount Meager complex, Garibaldi belt, southwestern British Columbia","Geosci Can, 17: 167-170"
320180,Meager,Souther J G,1977a,"Volcanism and tectonic environments in the Canadian Cordillera, a second look","Geol Assoc Can Spec Pap, 16: 3-24"
320180,Meager,Souther J G,1977b,Volcano fly-by,"Geol Assoc Can 1977 Ann Mtg, Vancouver, Fieldtrip Guidebook 16, 15 p"
320180,Meager,"Stasiuk M V, Russell J K, Hickson C J",1994,"Influence of magma chemistry on eruption behavior from the distribution and nature of the 2400 B.P. eruption products of Mount Meager, British Columbia","Geol Surv Can Open-File, 2843: 1-38 and 1:50,000 geol map"
320180,Meager,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320190,Garibaldi Lake,Green N L,1981,"Geology and petrology of Quaternary volcanic rocks, Garibaldi Lake area, southwestern British Columbia summary","Geol Soc Amer Bull, 92: 697-702"
320190,Garibaldi Lake,Green N L,1990,"Late Cenozoic volcanism in the Mount Garibaldi and Garibaldi Lake volcanic fields, Garibaldi volcanic belt, southwestern British Columbia","Geosci Can, 17: 171-174"
320190,Garibaldi Lake,"Green N L, Armstrong R L, Harakal J E, Souther J G, Read P B",1988,"Eruptive history and K-Ar geochronology of the late Cenozoic Garibaldi volcanic belt, southwestern British Columbia","Geol Soc Amer Bull, 100: 563-579"
320190,Garibaldi Lake,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320190,Garibaldi Lake,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320190,Garibaldi Lake,Mathews W H,1958,"Geology of the Mt. Garibaldi map-area, S.W. British Columbia","Geol Soc Amer Bull, 69: 186"
320190,Garibaldi Lake,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320200,Garibaldi,"Brooks G R, Friele P A",1992,"Bracketing ages for the formation of the Ring Creek lava flow, Mount Garibaldi volcanic field, southwestern British Columbia","Can J Earth Sci, 29: 2425-2428"
320200,Garibaldi,Green N L,1981,"Geology and petrology of Quaternary volcanic rocks, Garibaldi Lake area, southwestern British Columbia summary","Geol Soc Amer Bull, 92: 697-702"
320200,Garibaldi,Green N L,1990,"Late Cenozoic volcanism in the Mount Garibaldi and Garibaldi Lake volcanic fields, Garibaldi volcanic belt, southwestern British Columbia","Geosci Can, 17: 171-174"
320200,Garibaldi,"Green N L, Armstrong R L, Harakal J E, Souther J G, Read P B",1988,"Eruptive history and K-Ar geochronology of the late Cenozoic Garibaldi volcanic belt, southwestern British Columbia","Geol Soc Amer Bull, 100: 563-579"
320200,Garibaldi,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320200,Garibaldi,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320200,Garibaldi,Hildreth W E,2007,Quaternary magmatism in the Cascades--geologic perpectives,"U S Geol Surv Prof Pap, 1744: 1-125"
320200,Garibaldi,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320200,Garibaldi,Mathews W H,1958,"Geology of the Mt. Garibaldi map-area, S.W. British Columbia","Geol Soc Amer Bull, 69: 186"
320200,Garibaldi,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320811,Cayley Volcanic Field,Geol Surv Canada,2008-,Catalogue of Canadian volcanoes,Natural Resources Canada (http://gsc.nrcan.gc.ca/volcanoes/cat/index_e.php)
320811,Cayley Volcanic Field,Green N L,1981,"Geology and petrology of Quaternary volcanic rocks, Garibaldi Lake area, southwestern British Columbia summary","Geol Soc Amer Bull, 92: 697-702"
320811,Cayley Volcanic Field,"Green N L, Armstrong R L, Harakal J E, Souther J G, Read P B",1988,"Eruptive history and K-Ar geochronology of the late Cenozoic Garibaldi volcanic belt, southwestern British Columbia","Geol Soc Amer Bull, 100: 563-579"
320811,Cayley Volcanic Field,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320811,Cayley Volcanic Field,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320811,Cayley Volcanic Field,Hildreth W E,2007,Quaternary magmatism in the Cascades--geologic perpectives,"U S Geol Surv Prof Pap, 1744: 1-125"
320811,Cayley Volcanic Field,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320811,Cayley Volcanic Field,Souther J G,1976,Geothermal potential of western Canada,"In: {Proc 2nd United Nations Symp Devel Use Geotherm Resour, San Francisco}, Washington D C: U S Government Printing Office, 1: 259-267"
320811,Cayley Volcanic Field,Souther J G,1980,"Geothermal reconnaissance in the central Garibaldi belt, British Columbia","Geol Surv Can Pap, 80-1A: 1-11"
320811,Cayley Volcanic Field,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
321010,Baker,Coombs H A,1939,"Mount Baker, a Cascade volcano","Geol Soc Amer Bull, 50: 1493-1510"
321010,Baker,"Coombs H A, Howard A D",1960,United States of America,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 9: 1-68"
321010,Baker,Frank D,1983,"Origin, distribution, and rapid removal of hydrothermally formed clay at Mount Baker, Washington","U S Geol Surv Prof Pap, 1022-E: 1-31"
321010,Baker,"Gardner C A, Scott K M, Miller C D, Myers B, Hildreth W, Pringle P T",1995,"Potential volcanic hazards from future activity of Mount Baker, Washington","U S Geol Surv Open-File Rpt, 95-498: 1-16"
321010,Baker,Harris S L,1988,Fire Mountains of the West: the Cascade and Mono Lake Volcanoes,"Missoula, MT: Mountain Press, 379 p"
321010,Baker,Hildreth W E,2007,Quaternary magmatism in the Cascades--geologic perpectives,"U S Geol Surv Prof Pap, 1744: 1-125"
321010,Baker,"Hildreth W E, Fierstein J, Lanphere M",2003,"Eruptive history and chronology of the Mount Baker volcanic field, Washington","Geol Soc Amer Bull, 115: 729-764"
321010,Baker,"Hildreth W, Lanphere M A, Champion D E, Fierstein J",2004,"Rhyodacites of Kulshan caldera, North Cascades of Washington: postcaldera lavas that span the Jaramillo","J Volc Geotherm Res, 130: 227-264"
321010,Baker,"Hyde J H, Crandell D R",1978,"Postglacial volcanic deposits at Mount Baker, Washington, and potential hazards from future eruptions","U S Geol Surv Prof Pap, 1022-C: 1-17"
321010,Baker,Majors H M (ed),1978,Mount Baker: a Chronicle of its Historic Eruptions and First Ascent,"Seattle: Northwest Press, 221 p"
321010,Baker,"Scott K M, Hildreth W E, Gardner C A",2000,Mount Baker--living with an active volcano,"U S Geol Surv Fact Sheet, 059-00: 1-4"
321010,Baker,"Tucker D S, Scott K M",2009,"Structures and facies associated with a flow of subaerial basaltic lava into a deep freshwater lake: the Sulphur Creek lava flow, North Cascades, Washington","J Volc Geotherm Res, 185: 311-322"
321010,Baker,"Werner C, Evans W C, Poland M, Tucker D S, Doukas M P",2009,"Long-term changes in quiescent degassing at Mount Baker volcano, Washington, USA; evidence for a stalled intrusion in 1975 and connection to a deep magma source","J Volc Geotherm Res, 186: 379-386"
321020,Glacier Peak,Beget J E,1982,Recent volcanic activity at Glacier Peak,"Science, 215: 1389-1390"
321020,Glacier Peak,Beget J E,1983,"Glacier Peak, Washington: a potentially hazardous Cascade volcano","Environ Geol, 5: 83-92"
321020,Glacier Peak,"Gardner J E, Carey S, Sigurdsson H",1998,"Plinian eruptions at Glacier Peak and Newberry volcanoes, United States: implications for volcanic hazards in the Cascade Range","Geol Soc Amer Bull, 110: 173-187"
321020,Glacier Peak,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
321020,Glacier Peak,"Kuehn S C, Froese D G, Carrara P E, Foit Jr F F, Pearce N J G, Rotheisler P",2009,"Major- and trace-element characterization, expanded distributions, and a new chronology for the latest Pleistocene Glacier Peak tephras in western North America","Quat Res, 71: 201-216"
321020,Glacier Peak,"Mehringer P J, Blinmae E, Petersen K L",1977,Pollen influx and volcanic ash,"Science, 198: 257-261"
321020,Glacier Peak,"Sherrod D R, Smith J G",1990,"Quaternary extrusion rates of the Cascade Range, northwestern United States and southern British Columbia","J Geophys Res, 95: 19,465-19,474"
321020,Glacier Peak,"Tabor R W, Crowder D F",1969,"On batholiths and volcanoes: intrusion and eruption of late Cenozoic magmas in the Glacier Peak area, North Cascades, Washington","U S Geol Surv Prof Pap, 604: 1-67"
321030,Rainier,"Coombs H A, Howard A D",1960,United States of America,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 9: 1-68"
321030,Rainier,Crandell D R,1969,The geologic story of Mount Rainier,"U S Geol Surv Bull, 1292: 1-43"
321030,Rainier,Crandell D R,1971,"Postglacial lahars from Mount Rainier volcano, Washington","U S Geol Surv Prof Pap, 677: 1-75"
321030,Rainier,"Fiske R S, Hopson C A, Waters A C",1963,"Geology of Mount Rainier National Park, Washington","U S Geol Surv Prof Pap, 444: 1-93"
321030,Rainier,Frank D,1995,"Surficial extent and conceptual model of hydrothermal system at Mount Rainier, Washington","J Volc Geotherm Res, 65: 51-80"
321030,Rainier,"Gardner J E, Carey S, Sigurdsson H",1998,"Plinian eruptions at Glacier Peak and Newberry volcanoes, United States: implications for volcanic hazards in the Cascade Range","Geol Soc Amer Bull, 110: 173-187"
321030,Rainier,Hildreth W E,2007,Quaternary magmatism in the Cascades--geologic perpectives,"U S Geol Surv Prof Pap, 1744: 1-125"
321030,Rainier,"John D A, Sisson T W, Breit G N, Rye R O, Vallance J W",2008,"Characteristics, extent and origin of hydrothermal alteration at Mount Rainier Volcano, Cascades Arc, USA: implications for debris-flow hazards and mineral deposits","J Volc Geotherm Res, 175: 289-314"
321030,Rainier,"Moxham R M, Crandell D R, Marlatt W E",1965,"Thermal features at Mount Rainier, Washington, as revealed by infrared surveys","U S Geol Surv Prof Pap, 525-D: 93-100"
321030,Rainier,Mullineaux D R,1974,"Pumice and other pyroclastic deposits in Mount Rainier National Park, Washington","U S Geol Surv Bull, 1326: 1-83"
321030,Rainier,Pringle P T,2008,Roadside geology of Mount Rainier National Park and vicinity,"Wash State Dept Nat Resour, Inf Circ 107, 200 p"
321030,Rainier,"Reid M E, Sisson T W, Brien D L",2001,"Volcano collapse produced by hydrothermal alteration and edifice shape, Mount Rainier, Washington","Geology, 29: 779-782"
321030,Rainier,"Sherrod D R, Smith J G",1990,"Quaternary extrusion rates of the Cascade Range, northwestern United States and southern British Columbia","J Geophys Res, 95: 19,465-19,474"
321030,Rainier,"Sisson T W, Vallance J W",2009,"Frequent eruptions of Mount Rainier over the last ~2,600 years","Bull Volc, 71: 595-618"
321030,Rainier,"Stockstill K R, Vogel T A, Sisson T W",2003,"Origin and emplacement of the andesite of Burroughs Mountain, a zoned, large-volume lava flow at Mount Rainier, Washington, USA","J Volc Geotherm Res, 119: 275-296"
321030,Rainier,"Vallance J W, Scott W E",1997,The Osceola mudflow from Mount Rainier: sedimentology and hazard implications of a huge clay-rich debris flow,"Geol Soc Amer Bull, 109: 143-163"
321030,Rainier,"Venezky D Y, Rutherford M J",1997,Preeruption conditions and timing of dacite-andesite magma mixing in the 2.2 ka eruption at Mount Rainier,"J Geophys Res, 102: 20,069-20,086"
321030,Rainier,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
321030,Rainier,"Zimbelman D R, Rye R O, Landis G P",2000,"Fumaroles in ice caves on the summit of Mount Rainier--preliminary stable isotope, gas, and geochemical studies","J Volc Geotherm Res, 97: 457-473"
321040,Adams,"Hammond P E, Pedersen S A, Hopkins K D, Aiken D, Harle D S, Danes Z F, Konicek D L, Stricklin C R",1976,"Geology and gravimetry of the Quaternary basaltic volcanic field, southern Cascade Range, Washington","In: {Proc 2nd United Nations Symp Devel Use Geotherm Resour, San Francisco}, Washington D C: U S Government Printing Office, 1: 397-405"
321040,Adams,Harris S L,1988,Fire Mountains of the West: the Cascade and Mono Lake Volcanoes,"Missoula, MT: Mountain Press, 379 p"
321040,Adams,"Hildreth W, Fierstein J",1997,"Recent eruptions of Mount Adams, Washington Cascades, USA","Bull Volc, 58: 472-490"
321040,Adams,"Hildreth W, Lanphere M A",1994,"Potassium-argon geochronology of a basalt-andesite-dacite arc system: the Mount Adams volcanic field, Cascade Range of southern Washington","Geol Soc Amer Bull, 106: 1413-1429"
321040,Adams,Hopkins K D,1976,"Geology of the south and east slopes of Mount Adams volcano, Cascade Range, Washington","Unpublished PhD thesis, Univ Washington, 143 p"
321040,Adams,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
321040,Adams,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
321040,Adams,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
321050,St. Helens,"Anderson S W, Fink J H, Rose W I",1995,Mount St. Helens and Santiaguito lava domes; the effect of short-term eruption rate on surface texture and degassing processes,"J Volc Geotherm Res, 69: 105-116"
321050,St. Helens,"Belousov A, Voight B, Belousov M",2007,"Directed blasts and blast-generated pyroclastic density currents: a comparison of the Bezymianny 1956, Mount St Helens 1980, and Soufriere Hills, Montserrat 1997 eruptions and deposits","Bull Volc, 69: 701-740"
321050,St. Helens,"Carey S, Gardner J, Sigurdsson H",1995,The intensity and magnitude of Holocene plinian eruptions from Mount St. Helens volcano,"J Volc Geotherm Res, 66: 185-202"
321050,St. Helens,"Coombs H A, Howard A D",1960,United States of America,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 9: 1-68"
321050,St. Helens,Crandell D R,1987,"Deposits of pre-1980 pyroclastic flows and lahars from Mount St. Helens volcano, Washington","U S Geol Surv Prof Pap, 1444: 1-93"
321050,St. Helens,"Crandell D R, Mullineaux D R",1978,"Potential hazards from future eruptions of Mount St. Helens volcano, Washington","U S Geol Surv Bull, 1383-C: 1-26"
321050,St. Helens,"Crandell D R, Mullineaux D R, Rubin M",1975,Mount St. Helens volcano: recent and future behavior,"Science, 187: 438-441"
321050,St. Helens,"Evarts R C, Ashley R P, Smith J G",1987,Geology of the Mount St. Helens area: record of discontinuous volcanic and plutonic activity in the Cascade Arc of southern Washington,"J Geophys Res, 92: 10,155-10,169"
321050,St. Helens,"Gardner J E, Carey S, Sigurdsson H",1998,"Plinian eruptions at Glacier Peak and Newberry volcanoes, United States: implications for volcanic hazards in the Cascade Range","Geol Soc Amer Bull, 110: 173-187"
321050,St. Helens,"Green J, Short N M",1971,Volcanic Landforms and Surface Features: a Photographic Atlas and Glossary,"New York: Springer-Verlag, 519 p"
321050,St. Helens,Hildreth W E,2007,Quaternary magmatism in the Cascades--geologic perpectives,"U S Geol Surv Prof Pap, 1744: 1-125"
321050,St. Helens,"Hoblitt R P, Crandell D R, Mullineaux D R",1980,Mount St. Helens eruptive behavior during the past 1500 years,"Geology, 8: 555-559"
321050,St. Helens,"Hopson C A, Melson W G",1990,Compositional trends and eruptive cycles at Mount St. Helens,"Geosci Can, 17: 131-141"
321050,St. Helens,"Kashman K V, Cronin S J",2008,"Welcoming a monster to the world: myths, oral tradition, and modern societal response to volcanic disasters","J Volc Geotherm Res, 176: 407-418"
